X (cm),Y (cm), start(s), end(s), omega, stdev-Y (cm), stdev-omega, sensor used
20, 74.60850492757488, 92.6, 112.4, 3.827913956978489, 1.689663349117681, 0.19566035402188647, 3
33, 95.04858701425759, 26.7, 35, 3.092546273136568, 0.7852041904684036, 0.5079460028611928, 3
33, 87.59308865262165, 11.5, 24.5, 3.383191595797899, 1.564665929146375, 0.27969095080400064, 3
33, 80.08938507543027, 49.4, 59.8, 3.5652826413206604, 0.5804678842715555, 0.34718081939411743, 3
33, 77.7426296454331, 71.8, 82.0, 3.628314157078539, 0.6558511965117708, 0.3285618884870393, 3
33, 75.22622130220934, 97, 109, 3.684342171085543, 1.7813894404003288, 0.3722295373206453, 3
33, 67.77123971616058, 137, 146.9, 3.7788894447223615, 1.4716362317080491, 0.37649832346652257, 3
33, 100.23940205358653, 31.2, 45.2, 3.159079539769885, 1.2841804752693151, 0.3102884533823351, 3
33, 89.2848202427632, 56, 67.7, 3.337668834417209, 1.2226422298041084, 0.3355306346115991, 3
33, 88.61372676276059, 56, 67, 3.313156578289145, 1.2546021222159922, 0.32011663658685025, 3
33, 85.5481425744828, 77.6, 90.3, 3.425212606303152, 0.991699669232354, 0.2790329580825537, 3
33, 81.13555048724889, 111.6, 129, 3.6388194097048525, 1.9588021249035845, 0.24191212985253227, 3
33, 71.01080097537866, 139.5, 149.5, 3.729864932466233, 0.7752658621302101, 0.3747958324757079, 3
33, 67.66175967287333, 174.75, 186, 3.890945472736368, 0.9925457093000791, 0.33057259488166313, 3
42, 92.8141354738164, 14.9, 28.0, 3.3621810905452727, 2.2639500036678744, 0.2854700779820532, 3
42, 83.21677397530482, 53.7, 64.2, 3.558279139569785, 1.1744859354275747, 0.3799293088283154, 3
42, 81.86309090983075, 77.5, 90, 3.5757878939469734, 1.6442952839820772, 0.375958125150844, 3
42, 76.04603585349008, 133.7, 147.2, 3.7788894447223615, 2.1572964926926534, 0.33667896554360816, 3
42, 72.95135199251114, 175, 188, 3.890945472736368, 1.9964884206829874, 0.3153133839678674, 3
42, 72.93474677670737, 233, 250.5, 3.9959979989995, 1.0990005108275023, 0.3549534144417466, 3
48, 103.41035772559152, 24.6, 38.3, 3.2886443221610806, 2.8780410208089755, 0.27703461517376804, 3
48, 90.7859506663313, 60.8, 72.0, 3.439219609804902, 2.0628731813335364, 0.3409264788687234, 3
48, 92.61345268388229, 93.15, 110.6, 3.628314157078539, 2.335499270240132, 0.2625490587996088, 3
48, 81.96472815436832, 130, 140.2, 3.6318159079539774, 1.0889770629443125, 0.4002134184684855, 3
48, 83.51469988521283, 158, 173, 3.684342171085543, 1.3221637986456842, 0.282893866131259, 3
48, 76.7865944013887, 215, 228.2, 3.8349174587293646, 2.0050900297951073, 0.3684544975450874, 3
48, 73.16199969409774, 261.5, 274, 4.01000500250125, 1.1704339947528506, 0.3766783356456304, 3
48, 69.62796739201808, 291, 302.2, 3.9784892446223115, 0.9302425522187527, 0.38084025182996, 3
48, 67.74791770732811, 322, 333, 3.974987493746873, 0.9360793873302016, 0.3533629636780798, 3
53, 98.42158228061155, 23.7, 34.8, 3.428714357178589, 4.44417788429989, 0.4272325831473827, 3
53, 84.94229201773611, 54, 64.3, 3.6353176588294147, 1.897434544147836, 0.49385548713858823, 3
53, 79.93215200343462, 72.8, 82.6, 3.771885942971486, 2.318425123084637, 0.44108716319670593, 3
53, 76.46177859118177, 98.8, 108.5, 3.894447223611806, 1.8982664420521311, 0.42801565069249775, 3
53, 73.51330563937937, 115, 123, 3.9259629814907457, 1.5148608370488181, 0.5572783539254993, 3
53, 74.08731954981849, 153.4, 163.0, 4.048524262131066, 1.9541736997747012, 0.3698988704330109, 3
53, 70.38928896552933, 189.5, 200, 4.115057528764382, 2.064302872944069, 0.4671724431300658, 3
