X (cm),Y (cm), start(s), end(s), omega, stdev-Y (cm), stdev-omega, sensor used
19, 98.44340944589034, 39.6, 50.0, 3.6335851332675144, 1.7804463246512003, 0.0006014753599831247, 3
19, 80.27783509205975, 60.2, 70.0, 3.993156607082801, 1.195926346592839, 0.00033245140649060744, 3
19, 70.23782061606816, 80.1, 90.0, 4.293156644065674, 1.7689168204384023, 0.00036665119412095993, 3
19, 60.27135349319511, 107.7, 116.0, 4.555641460454755, 1.7318002208999015, 0.0004624190450816902, 3
19, 82.18671594165629, 137.8, 145.0, 5.007859710182985, 5.762995815910988, 0.0008182841518571704, 1
19, 77.05878359689106, 155.2, 163.2, 5.265430322759012, 5.5359162764752705, 0.0008557606728941764, 1
19, 106.89850259290154, 309.8, 318.0, 3.493270250259912, 3.067890583711938, 0.0003233290944573042, 3
19, 80.76064654033401, 331.7, 340.0, 3.9690363096638905, 1.2342405514613306, 0.0005701728482016838, 3
19, 71.75284423855781, 351.5, 362.0, 4.26759476264836, 1.3091262132674706, 0.0005645099144155432, 3
19, 62.368911183088976, 370.0, 380.0, 4.58499296810804, 1.7132690415318392, 0.0008617299347728993, 3
19, 84.3942278882709, 397.7, 408.0, 5.049526476633262, 5.599745694200448, 0.0004285828938832334, 1
34, 112.58762705869744, 54.4, 64.0, 4.6354101804698535, 5.49177638460323, 0.0014766829288323422, 1
34, 104.20322155072293, 77.1, 83.0, 4.552090774826481, 5.400697540969374, 0.0020388302601111827, 1
34, 97.52425252105165, 109.0, 115.0, 4.788683410346962, 5.2967393169776775, 0.001521932450345423, 1
34, 60.48948049348843, 183.6, 189.5, 4.950349757946225, 0.35568303448697847, 0.0037451241748012293, 3
34, 80.03534589740548, 213.0, 220.0, 5.480340922122243, 5.434489326683726, 0.0068968575973250325, 1
34, 55.2113841767243, 229.5, 235.6, 4.3916958479239625, 0.4997907533517871, 0.5181060299875977, 3
34, 73.03901615957977, 241.6, 245.6, 5.439453077127159, 5.282117965898201, 0.002914214651555021, 1
34, 54.969505367481894, 261.0, 270.2, 5.652477538511163, 0.5875603858376053, 0.0061754360459115075, 3
