X (cm),Y (cm),Adjusted Y,start,end,A,damp_factor,omega,phi,c,d,stdev-A,stdev-damp,stdev-omega,stdev-phi,stdev-c,stdev-d
24.0,10.0,13.877142997590479,26.153611165638438,34.15361116563844,-0.0016533235545280805,0.2544670387432311,3.622941505517158,3.303006621590528,1.248906190710932,4.936780665049285e-05,2.2027952758282113e-06,0.0005430726774926956,0.0005963248707039842,0.0015085708702673088,1.1102197778882433e-06,1.9135529177384234e-07
24.0,20.0,24.68505197712813,26.570513817176234,31.570513817176234,-0.0017505193624407437,0.16603765868878034,3.3688173093877802,3.2834407346935284,1.2594670354578805,6.850807264012843e-05,1.1849150860658093e-06,0.00029669162841409905,0.0003522757627192909,0.0008113300966132875,7.847922581669317e-07,2.15700666796815e-07
24.0,30.0,34.171652738622925,20.392457004549428,25.392457004549428,-0.0013659071647074282,0.1715829570783352,3.199203626601946,3.257200031789035,1.2688196835750785,8.559218348697785e-05,1.4589224662814215e-06,0.0004704661347824709,0.0005855061800086295,0.001326640757396179,1.004397446064972e-06,2.7679214095922946e-07
24.0,40.0,44.64429918631935,11.145320516507535,19.145320516507535,-0.0015356787413585559,0.18115868115504163,3.0390344406532086,3.2831182858443997,1.279292627699027,9.406276534350002e-05,9.757202824908136e-07,0.00021678394753295622,0.00022325377172487958,0.0006966053324593713,5.349572665635122e-07,8.945627455626834e-08
24.0,52.0,54.9033185745088,12.091354148970447,20.091354148970446,-0.0006150543719404609,0.22688073262702688,2.897216529571292,3.4279740854504057,1.2893093263391546,8.612675872793194e-05,1.0196205320941438e-06,0.0006328542320932751,0.0007263149905024764,0.001998820598627824,5.547709589777804e-07,9.223318783887912e-08
24.0,60.0,62.62720373097446,6.726225772884428,12.226225772884428,-0.0006968086834085028,0.17712995803953485,2.807121818735224,3.3007275332136636,1.296706124622101,7.613776997178622e-05,8.769236970154639e-07,0.0005425513800202828,0.0006296827808152718,0.0015628259538942612,5.980126892034704e-07,1.4660944891544986e-07
24.0,70.0,72.38446490377194,6.592161842331394,12.092161842331393,-0.0003546983241901674,0.21939763211650232,2.793187070426835,3.5564133111292637,1.3063416198593722,9.60085642936948e-05,5.211215038634443e-07,0.0007015211307448822,0.0007810514638314233,0.0018601495110959153,3.437797965500832e-07,8.317037979209601e-08
36.0,10.0,14.664000963684353,35.996683395854646,43.996683395854646,-0.0016705446164871776,0.2474268883535817,3.6299818726929054,3.523537327921218,1.249769649892357,6.781054385295623e-05,1.7630410928463607e-06,0.0004274799244503534,0.00047734198733219066,0.0012390975641327299,9.156829019908784e-07,1.5775452694333146e-07
36.0,20.0,33.19584887495489,10.930309701915448,15.930309701915448,-0.0013872687775592105,0.19660655643964692,3.22714389412478,3.2311249537746902,1.2679008590284464,9.747680807898362e-05,1.4996509089104071e-06,0.0004924158324637283,0.000614108794661435,0.0013414124566311087,1.0014093366366721e-06,2.7499138660641603e-07
36.0,30.0,24.496360265669438,11.734283903123563,16.73428390312356,-0.0020985301021491706,0.161903224879337,3.3788018864759573,3.252168180637467,1.2593574772950589,9.245638028569643e-05,9.136928140882363e-07,0.00019001998295891867,0.00022136514529777477,0.0005138255493233627,6.016890982628693e-07,1.6534465700109019e-07
36.0,40.0,44.27337079078736,5.924209610077135,10.924209610077135,-0.0014130007983758819,0.17617303403791396,3.063418015988639,3.2452304065301187,1.2786723080083253,7.020747719479892e-05,7.785602192554676e-07,0.000253777042326614,0.0002893208679285871,0.0006700230541806692,5.355607069855122e-07,1.4682928604701208e-07
36.0,52.0,54.97175638539296,2.4380775914197512,10.438077591419752,-0.0008635692730520983,0.19354665694839246,2.923068267704453,3.299191658109262,1.2893667593069589,8.425369656274807e-05,7.856387189741144e-07,0.0003165996976717502,0.00034924136176119796,0.0010405875180099942,4.3429170187810035e-07,7.229597534839168e-08
36.0,60.0,63.674645114286044,14.146388829333993,19.646388829333993,-0.000712602019673902,0.1877937864962804,2.8281488152904712,3.312363563862992,1.2978295612559243,0.00010324335910868913,8.900157441406691e-07,0.0005456441717858914,0.0006449142774107682,0.001568403467943173,6.023764868412141e-07,1.4730295391378168e-07
36.0,70.0,73.17459762548351,9.958331259771798,17.958331259771796,-0.0006537594727250525,0.21769872156305778,2.7321000365515324,3.3408350395688338,1.3073670346726796,0.00011399059046243361,8.577300497640986e-07,0.0004937596333355631,0.000547881617861011,0.0015553802766034095,4.7498716414867803e-07,7.831593574046276e-08
48.0,25.4,31.756600315942837,5.173201574250868,10.173201574250868,-0.0019242447656937786,0.13341168253809646,3.3813929811878554,3.2698962606149733,1.2664383371436267,8.114207087946193e-05,5.853825579251353e-07,0.0001271921912477988,0.00014821137399722163,0.00035742277271040774,3.961495079773985e-07,1.0854378076051312e-07
48.0,38.1,60.74520073913617,32.58960386903108,37.58960386903108,-0.004949201033698422,0.12714658537340195,2.96345943304892,3.292800289007805,1.2953878694070025,0.0002463818745051668,3.398943328506212e-06,0.00030169926423565907,0.00031707721530331237,0.0008035144211623168,2.414924582986225e-06,6.568723395838361e-07
48.0,53.34,60.64867158812315,12.891331874469017,18.391331874469017,-0.001302131033046294,0.17972709042837898,2.9998633842390454,3.2622611326352167,1.294958984739863,0.0001301261610588709,1.0271764052894038e-06,0.0003274171413405533,0.000404556167362664,0.0009728773646721591,6.754508772853498e-07,1.6438555979850165e-07
48.0,63.5,72.36381286029003,5.178179355732594,10.178179355732594,0.0013704098292749121,0.14042274428067575,2.8111305355344656,0.13482163907423955,1.3064067470612484,0.00013175220747972812,7.253741944007086e-07,0.00023279603813074516,0.0002516147630015751,0.0006195091248443618,5.033352827799336e-07,1.3423129421417174e-07
48.0,81.28,87.49648928261455,3.093110468231008,8.093110468231007,-0.0020650947879824544,0.1154725661761588,2.6852205422903586,3.3200099881570493,1.321808269955474,0.0003032866074602169,6.829401933796967e-07,0.00013539611742388312,0.00015852887641977726,0.00039441796215381245,4.865055227826542e-07,1.2721776791048545e-07
48.0,15.24,28.91324455881478,18.898371138474833,23.898371138474833,-0.0026346115612250714,0.1417154303592593,3.4891881159740348,3.2338222153183014,1.2636754383595634,8.878868340471321e-05,7.555278761505363e-07,0.00012423024314213823,0.00012978330922989683,0.00031859120745683807,4.876736396392434e-07,1.3285247903292398e-07
60.0,43.18,44.62172882296169,3.3320907185058126,8.332090718505812,-0.0015031281961412402,0.18211027154614395,3.280567565677917,3.276992191019535,1.2792499870576624,0.00014408550459733908,1.7843778049234488e-06,0.0005284315555195378,0.0006596148105314335,0.0014709127039222315,1.1987928633548049e-06,3.258249868589679e-07
60.0,58.42,62.99447082871134,7.80133772024763,12.80133772024763,-0.0013789630461585468,0.14568579320602534,3.065499628042212,3.3985720003952573,1.2974487111426944,0.000201734273547777,9.378097146022201e-07,0.000304343047516908,0.00033947441533586556,0.0008291033535149686,6.669839887542085e-07,1.8096060123671152e-07
60.0,68.58,84.57408436006374,4.703123824738758,12.703123824738757,-0.004825749324922527,0.13312709424354185,2.810497216046014,3.4956373985384683,1.3197794989217455,0.0003482783771341309,4.479288125688015e-06,0.0002767085488604356,0.00031763593343644725,0.001093294766389593,2.7928613293739525e-06,4.592557448693946e-07
60.0,68.58,79.82520541838444,4.031130457296352,9.531130457296353,-0.005493254206561496,0.13538584113152882,2.861784400788404,3.292497530730869,1.3143312554153521,0.00028859634402934474,5.101075235291158e-06,0.0003651902367940984,0.0004422517538862618,0.0011479874590754726,3.6136882261869144e-06,8.783462654150046e-07
60.0,76.2,80.74625099480076,4.350207905176122,12.350207905176122,-0.0017079190924536407,0.13497912021363198,2.8482336098162895,3.342608207722442,1.3153535570893293,0.00022102731149114128,1.4219810976846773e-06,0.00024614289784499494,0.00028288110315579236,0.0009606837836416974,8.698849236113245e-07,1.4321617105183372e-07
60.0,10.16,19.652340837787918,3.449119264151596,8.449119264151596,-0.004516205932191689,0.14581630790889533,3.734922859105145,3.266218277981816,1.254725361682761,0.00012948022201880098,2.0477083048956873e-06,0.00019565344756056183,0.00020385499662402964,0.0004957895893336557,1.3036130911133125e-06,3.557487872755977e-07
60.0,17.78,26.215920459024208,20.291489848634818,25.291489848634818,-0.002053874550161096,0.1504028077217974,3.618116486536574,3.2941345040304957,1.2610977864429522,0.00010982423899535229,8.502004186550628e-07,0.00018312910918672666,0.0001847861135623705,0.00045480003065004234,5.396969461341309e-07,1.4649985434133818e-07
70.0,25.4,31.704256257942564,2.0411055489476135,10.041105548947613,-0.0016725337745262748,0.15448851537000685,3.872123883988541,3.346576317709901,1.2668343547478393,0.00013901673202584668,1.5763102647234106e-06,0.00029919326576703144,0.0003049271782758589,0.001006754819773426,8.846091185443433e-07,1.5018084981378187e-07
70.0,38.1,47.65118080375573,2.712031598448041,7.712031598448041,-0.0027738102972290355,0.15140523357176253,3.5534611314741786,3.3124888072076337,1.2825064106068786,0.0002334630347317201,1.8877992747941964e-06,0.0003015151395111811,0.00031053645216238103,0.0007605209003330705,1.2086804961587663e-06,3.2322764389583146e-07
70.0,58.42,68.3788795559336,22.616532680123417,27.616532680123417,-0.0023792893662201342,0.1338182538541118,3.264048852775275,3.369426651025683,1.302998607406449,0.00028480326981964306,1.9825269593555397e-06,0.000345261116624944,0.00043761429628011537,0.0010412574871243132,1.412097018480472e-06,3.793134849000426e-07
70.0,78.74,86.63513400291674,3.6731284580141996,9.1731284580142,-0.0019335740099171517,0.14260846682259992,3.0583013301272026,3.426070157511778,1.3211092976790415,0.0003158586844370057,1.982552916029412e-06,0.00040218057805819265,0.0004966591856593358,0.0012718741346782146,1.3543329397984855e-06,3.231106099637673e-07
70.0,12.7,20.978702440917576,58.64769397342295,63.64769397342295,-0.0022505539254523027,0.17564733721527237,4.098555495962969,3.2935250936054277,1.2559461681788402,0.00010417534762732148,7.467809803076322e-07,0.00015104779888682596,0.00015912539111744993,0.00036691611754264175,4.6766704077455595e-07,1.290679033302215e-07
