X (cm),Y (cm), start(s), end(s), omega, stdev-Y (cm), stdev-omega, sensor used
43.2, 173.49754957504314, 50, 65, 3.8279330923324175, 0.2972227771904093, 0.0006454053904566656, 1
43.2, 166.28741773520454, 97.6, 111, 3.8957376161905737, 0.2972227771904093, 0.00035129141180207795, 1
43.2, 155.95504615902172, 198.3, 211, 4.052936990990379, 0.2972227771904093, 0.0006897792353052671, 1
43.2, 136.233826704097, 340.1, 355, 4.408260166970453, 0.2972227771904093, 0.0013360163549427189, 1
43.2, 127.69875289914758, 421.7, 436, 4.559290808035283, 0.2972227771904093, 0.0011685829787863328, 1
43.2, 129.32963280525672, 473.5, 485, 4.4638731943291035, 0.2972227771904093, 0.0025331069453084273, 1
43.2, 122.38734227754772, 502, 515, 4.605222009849808, 0.2972227771904093, 0.0008115647664665646, 1
43.2, 113.13791127327472, 561.8, 576, 4.814588323461268, 0.2972227771904093, 0.001114927810152933, 1
43.2, 102.59423212087763, 615.2, 627, 5.164990416573421, 0.2972227771904093, 0.0014368531101292999, 1
43.2, 96.53928825971498, 686, 698, 5.305834399900697, 0.2972227771904093, 0.000866540982630115, 1
43.2, 92.35792006595712, 744, 756, 5.4718951650443834, 0.2972227771904093, 0.0010092140201259233, 1
43.2, 89.34285856423317, 798.8, 808, 5.567971674484944, 0.2972227771904093, 0.0016391333809628302, 1
43.2, 81.37997384747355, 970.2, 980, 5.960235438340121, 0.2972227771904093, 0.001601130400170124, 1
43.2, 75.35059648322768, 1056, 1065, 6.188745399838177, 0.2972227771904093, 0.0011278596582656895, 1
