X (cm),Y (cm),Adjusted Y (cm),start,end,A,damp_factor,omega,phi,c,d,stdev-A,stdev-damp,stdev-omega,stdev-phi,stdev-c,stdev-d
40.5,38.0,74.42179079622926,3.508,8.508,0.001155107237103,0.1340984703805238,3.8333436033723336,-0.0800286252132815,1.3841272985141149,-1.9103419116953345e-05,9.867607281366314e-07,0.0003508156528505,0.0003769275228946,0.0009016027358403,6.242798511432498e-07,1.5492374109417744e-07
40.5,46.0,80.43786689421506,6.7,11.7,0.0016779356896035,0.1415407452561736,3.73185872761264,0.41757519402719,1.3900230254998571,-1.903033431359862e-05,7.059222548761811e-07,0.0001721096381469,0.000172163919139,0.0004029098368203,4.217230958572537e-07,1.038872004888759e-07
40.5,54.0,90.33120442562,4.6252,9.6252,0.0012169766133956,0.1272643184291959,3.55138367798328,-0.0121153878973151,1.3997061207893275,-2.243504099377948e-05,7.978657405903051e-07,0.0002791817061752,0.0002741577202027,0.0006942178148083,5.088465368499893e-07,1.2490579147581377e-07
41.0,14.0,49.17885696648428,4.5,9.5,0.001139155499952,0.1653610940511203,4.484228279198408,0.4154402715209316,1.359932550526238,-5.127111916988243e-06,7.744524778450514e-07,0.000289665515438,0.0002973516571961,0.0006622341912795,4.580877000518012e-07,1.172474433685056e-07
41.0,4.0,39.62262765229883,2.5192,7.5192,0.0011402084353614,0.1885672357411381,4.8319252389040805,-0.0827207796209013,1.350449611918647,-4.006260189603134e-05,1.267632876966968e-06,0.0005117627282794,0.000497408924818,0.0011274413644863,7.361250456988671e-07,1.874324857869021e-07
41.0,6.0,42.96836942973486,2.4508,7.4508,0.0006676520056766,0.1774319185743622,4.718089104044807,-0.010267865984451507,1.3537763013632869,-2.5823787880398083e-05,7.464850393009927e-07,0.0005039497976139,0.0005138279210104,0.001173650917099,4.4712743683538034e-07,1.13981319604656e-07
51.0,45.0,68.27330316667559,1.9136,6.9136,0.0036586027588078,0.1335231157943915,4.412639048918583,-0.2536094291932146,1.3896999982403802,0.0003295777116133,3.986028575386291e-05,0.0044446877552189,0.0047753949882168,0.011200504398916,2.5168896173611005e-05,6.327554517779723e-06
51.0,64.0,88.8025798827245,2.068,7.068,0.002011176712107,-0.0091253435302869,3.936214931000973,-1.0750149999968266,1.4094831750210948,0.0002296449928044,2.405493142305368e-05,0.0041445399083414,0.003670432703456,0.0107341908988505,1.6604513344571287e-05,4.109119130847326e-06
51.0,74.0,99.12917685665823,1.9636,6.9636,0.0026305791646353,0.0033046455880677,3.84409238566225,-0.9687451008198256,1.4199148856130737,0.0003158295573007,2.989017729793692e-05,0.0039038781907765,0.0036646817041836,0.010329103175482,2.0409907174450262e-05,4.991723146875401e-06
51.0,85.0,109.4658702890037,3.5196,8.5196,0.002577604100147,0.026524548747036,3.736390625673258,-1.10490726816673,1.429972534910294,0.0002933595151532,2.789815707265042e-05,0.0037439578392693,0.0036787430067784,0.0098997833917236,1.856592652727221e-05,4.489160515001936e-06
